Country,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Year
Kuwait,73.84375,83.25,0.5,0.021333333333333333,1719.8409805812498,98.1875,15.375,59.60625,1.0,98.1875,2.8093333333333335,98.5,0.1,31914.378339375,3.28125,3.15625,0.7895000000000001,13.725,2000_2015
Latvia,73.73125,161.8125,0.0,8.864,530.60519180375,88.9375,3.3125,51.30625,0.0,95.0625,6.331333333333333,95.0,0.1,7951.824896625,2.40625,2.43125,0.7925,15.56875,2000_2015
Lebanon,74.2,65.3125,1.0,1.7853333333333334,333.0479451320625,70.5,295.1875,55.3375,1.0,71.25,6.6706666666666665,70.5,0.1,4696.1923789375,4.76875,4.71875,0.4696875,13.74375,2000_2015
Lesotho,48.78125,550.0625,4.5,2.086666666666667,82.1189129000625,73.23076923076923,266.6875,25.2375,6.3125,67.9375,7.607333333333333,79.4375,22.96875,794.5230103125,7.1875,7.06875,0.4568125,10.65625,2000_2015
Liberia,57.525,246.9375,10.6875,3.2580000000000005,25.27170667675,49.125,705.3125,19.9875,14.75,59.4375,6.843999999999999,40.6875,2.28125,246.28174803125,7.8375,7.7625,0.3894375,9.86875,2000_2015
Libya,72.4875,139.6875,2.1875,0.01,180.0749890925,96.3125,547.3125,54.8375,2.5,96.5,3.728,96.5,0.1,4598.161975416667,5.6,5.43125,0.7408125,14.79375,2000_2015
Lithuania,72.80625,117.25,0.0,12.632666666666667,1015.75384256375,94.75,14.9375,49.23125,0.0,88.8125,6.5473333333333334,94.25,0.1,9007.4586225,2.9375,2.96875,0.8066875,16.1,2000_2015
Luxembourg,80.78125,67.5625,0.0,11.921999999999999,8177.5763413625,92.375,1.125,47.825,0.0,98.0625,7.547333333333333,98.9375,0.1,53257.012740625,0.95,0.9125,0.878125,13.6375,2000_2015
Madagascar,62.74375,228.8125,34.9375,0.8200000000000001,43.25315657175,63.357142857142854,9576.1875,14.76875,51.125,59.9375,4.710666666666667,61.25,0.525,314.04132958125,7.86875,7.78125,0.4566875,9.33125,2000_2015
Malawi,49.89375,424.4375,37.125,0.9193333333333332,25.849706456812502,89.57142857142857,7559.4375,16.78125,58.75,89.0625,6.658666666666666,83.625,16.68125,237.50404201875,7.11875,6.9875,0.410625,10.23125,2000_2015
Malaysia,73.75625,118.5625,3.3125,0.4906666666666667,248.88502812,96.0,1453.125,29.16875,4.125,96.375,3.748666666666667,96.4375,0.1,4904.9389918125,8.6125,8.40625,0.749125,12.5625,2000_2015
Maldives,75.5375,83.1875,0.0,1.4073333333333333,626.4998210525,97.875,157.875,19.29375,0.0,97.875,8.236666666666666,97.875,0.1,3818.2969615625,14.19375,14.2875,0.638625,12.0,2000_2015
Mali,54.9375,202.125,55.9375,0.438,48.981176981125,67.15384615384616,823.3125,17.2125,96.5,62.5,6.522666666666667,67.0,1.825,530.5121701,7.075,6.35,0.3651875,6.43125,2000_2015
Malta,80.3625,60.75,0.0,7.13,1181.4317855812499,80.53846153846153,2.1875,66.18124999999999,0.0,89.4375,8.596666666666666,89.3125,0.1,10114.797943125,0.75,0.7124999999999999,0.8111875,14.30625,2000_2015
Mauritania,62.8,159.9375,7.8125,0.013333333333333334,31.7031471238125,57.63636363636363,815.9375,22.475,11.9375,63.0625,3.9353333333333333,60.125,1.1875,635.04960900625,6.48125,6.81875,0.4730625,7.31875,2000_2015
Mauritius,72.7125,163.5625,0.0,2.9066666666666667,422.2395242989375,96.1875,54.3125,25.98125,0.0,96.5,4.524666666666667,96.3125,0.10625000000000001,5299.579823625,7.46875,7.4125,0.722625,13.53125,2000_2015
Mexico,75.71875,111.0625,39.625,5.114,465.3274957875,94.4375,11.0,51.41875,46.5,95.0625,6.074,95.0,0.1,5179.33080675,1.73125,1.66875,0.7288749999999999,12.325,2000_2015
Mongolia,65.8875,222.125,1.5625,2.354,126.378363989375,97.4375,2079.25,39.79375,1.9375,97.5625,5.180666666666666,97.375,0.1,1984.6880227125,2.28125,2.3874999999999997,0.6620625,12.66875,2000_2015
Montenegro,74.5,92.75,0.0,2.584285714285714,455.049824020625,48.5,0.625,50.4875,0.0,84.3,7.419333333333333,84.5,0.1,4676.5142775,2.1375,2.1875,0.58375,10.71875,2000_2015
Morocco,72.15625,95.1875,21.375,0.5186666666666667,102.98965830775,87.25,2593.0,48.61875,24.875,96.9375,5.442666666666667,97.1875,0.1,1936.391438375,6.45625,6.3125,0.5855,10.2875,2000_2015
Mozambique,53.39375,226.25,74.5625,1.2659999999999998,37.0341515221875,67.86666666666666,4735.0,16.14375,107.25,69.0,5.972666666666667,64.0625,11.3875,365.06823808125,3.80625,3.71875,0.3608125,7.9875,2000_2015
Myanmar,64.2,154.3125,56.625,0.3513333333333334,12.82456363525,65.46153846153847,914.5,17.125,76.9375,70.6875,2.0126666666666666,72.375,0.475,616.18435734375,13.13125,13.425,0.48825,8.325,2000_2015
Namibia,60.4,313.1875,2.875,4.710666666666667,359.9300794169375,86.33333333333333,722.0625,28.225,3.8125,78.5,7.398666666666667,83.5,13.64375,3042.603507,10.7,10.70625,0.5883125,11.55,2000_2015
Nepal,66.48125,147.25,29.125,0.19,40.1620642759375,65.38461538461539,4663.5625,15.175,38.125,69.125,5.889333333333334,73.6875,0.15625,395.32846794375,17.13125,17.66875,0.494375,10.43125,2000_2015
Netherlands,81.13125,61.625,1.0,8.846666666666666,3805.68704771875,48.2,251.9375,53.96875,1.0,96.8125,7.141333333333334,96.8125,0.1,34964.719796875,1.025,0.9625,0.89975,17.05625,2000_2015
New Zealand,81.3375,71.5,0.0,9.16625,2922.147779791875,70.1875,94.9375,56.625,0.0,89.125,8.876,70.625,0.1,14775.554806875001,0.3125,0.3,0.8911875,18.86875,2000_2015
Nicaragua,73.45,162.375,3.0625,3.5966666666666667,183.6629076488125,91.875,0.0,42.68125,3.6875,88.1875,6.730666666666667,91.875,0.225,957.9039710625,1.96875,1.875,0.6035,11.1125,2000_2015
Niger,56.98125,232.4375,52.8125,0.09133333333333334,19.099368610625,60.57142857142857,15467.125,16.3625,105.6875,52.9375,6.577333333333333,52.3125,1.1625,259.782440975,9.025,8.9125,0.298125,4.01875,2000_2015
Nigeria,51.35625,248.5,535.6875,8.646666666666667,85.4442753329375,42.90909090909091,51653.9375,19.75,852.0625,41.3125,3.710666666666667,39.3125,4.83125,1360.13987746875,10.41875,10.36875,0.367375,9.0,2000_2015
Oman,74.84375,67.75,1.0,0.5346666666666666,387.410820335625,98.8125,10.875,44.78125,1.0,98.5,2.8766666666666665,98.75,0.1,7621.311126875,7.025,6.825,0.7155,12.225,2000_2015
Pakistan,64.5,154.0,367.9375,0.026000000000000002,26.120390604562502,67.3076923076923,3842.3125,18.3125,461.0,64.1875,2.9040000000000004,70.875,0.1,666.11105159375,15.0875,15.5125,0.500875,6.71875,2000_2015
Panama,76.4875,115.875,1.125,6.212000000000001,569.9716162019375,78.66666666666667,0.25,49.3125,1.6875,84.6875,7.7219999999999995,80.0,0.125,5417.7688902499995,2.08125,2.01875,0.74825,12.775,2000_2015
Papua New Guinea,61.68125,266.5625,10.625,0.5806666666666668,75.370481651875,57.0,2349.875,40.7875,13.75,62.5625,5.462666666666666,68.375,1.16875,758.0976163466668,1.40625,1.3625,0.4661875,8.54375,2000_2015
Paraguay,73.1125,139.9375,3.1875,5.527333333333333,229.790694404375,82.15384615384616,0.0,39.525,3.6875,77.9375,6.778666666666667,89.625,0.1375,1983.4043354375,2.2,2.11875,0.6561875,12.16875,2000_2015
Peru,73.6625,122.4375,11.8125,4.278666666666666,417.078699565,83.6923076923077,0.375,44.86875,15.125,82.8125,4.926666666666667,81.0,0.29375,2928.543541625,1.21875,1.21875,0.70325,13.30625,2000_2015
Philippines,67.575,217.9375,61.1875,4.510666666666666,89.55657082675,62.125,7144.6875,19.1875,78.8125,78.1875,3.905333333333333,79.125,0.1,1397.1361066875,1.0,9.69375,0.6504375,11.54375,2000_2015
Poland,75.65,107.5625,2.25,9.998666666666667,310.682268485,97.375,47.4375,53.73125,2.6875,96.75,6.379333333333333,98.75,0.1,6792.5636004375,2.20625,2.3625,0.8131875,15.25,2000_2015
Portugal,79.99375,58.875,0.1875,12.211333333333334,1614.89704591875,87.625,7.25,43.63125,0.375,96.5,7.952666666666667,97.0,0.1,11598.62553125,0.71875,0.5375,0.805,15.9375,2000_2015
Qatar,77.03125,75.375,0.0,1.0813333333333333,2466.8550051575,95.0625,96.25,65.65,0.0,95.875,2.6013333333333337,89.6875,0.1,40748.444104375,4.95625,4.5875,0.828375,12.85,2000_2015
Romania,74.05,156.0625,2.8125,8.968666666666667,426.536634242625,91.8125,1365.6875,52.25,3.25,94.75,5.2780000000000005,95.0,0.1,4258.9400543125,3.16875,3.50625,0.762625,13.925,2000_2015
Russian Federation,67.7625,224.5625,16.6875,11.127999999999998,326.084075064875,92.33333333333333,1616.4375,53.31875,19.3125,97.5625,6.223333333333333,97.125,0.2625,6545.137359,2.44375,2.60625,0.7621875,13.74375,2000_2015
Rwanda,59.3125,246.8125,20.75,5.635999999999999,20.1913534375,96.0,505.875,14.75,32.0625,88.5,6.350666666666667,89.375,4.425,300.01801709375,6.63125,6.65625,0.4176875,9.2875,2000_2015
Samoa,73.61875,133.5625,0.0,2.704,254.597017984375,54.9375,0.5625,62.90625,0.0,57.25,5.325333333333333,62.9375,0.1,2121.6206485000002,0.2,0.16875,0.6784375,12.64375,2000_2015
Sao Tome and Principe,65.1625,164.9375,0.0,4.191333333333334,52.315094208812496,83.3076923076923,0.0,20.85,0.0,90.5625,6.585999999999999,95.125,0.96875,771.0348342533333,6.6375,6.55625,0.52825,10.25625,2000_2015
Saudi Arabia,73.46875,52.125,8.625,0.07466666666666667,838.506400329375,96.8125,759.3125,55.3125,10.0,96.8125,3.924666666666667,96.875,0.1,10689.0529458125,7.35625,7.36875,0.782625,13.2875,2000_2015
Senegal,62.56875,174.1875,22.3125,0.30933333333333335,21.4864262246875,86.41666666666667,3248.75,18.44375,36.625,75.4375,4.938,78.3125,0.53125,274.61116614375,8.09375,7.9875,0.4325625,7.125,2000_2015
Serbia,73.95625,130.4375,1.0,8.682666666666668,464.7447380456875,90.75,73.8125,52.1375,1.0625,94.625,6.198666666666667,93.3125,0.1,3674.5424077625003,2.39375,2.425,0.7416874999999999,13.53125,2000_2015
Seychelles,72.375,161.1875,0.0,6.201333333333333,466.8304218925,98.6875,0.6875,28.40625,0.0,98.5,3.802,98.5,0.1,6496.3023970625,5.90625,6.3,0.6908124999999999,12.90625,2000_2015
Sierra Leone,46.1125,357.8125,27.5625,3.1546666666666665,29.105578593562498,83.44444444444444,673.875,18.30625,41.875,71.75,9.218,72.125,1.51875,271.50556128125,7.68125,7.1,0.3618125,8.23125,2000_2015
Singapore,81.475,62.0,0.0,1.7625,2332.57175895,95.875,85.75,25.90625,0.0,96.125,3.688,96.1875,0.1,32790.105906875004,2.125,2.06875,0.866875,13.98125,2000_2015
Solomon Islands,67.7125,140.0625,0.0,0.8006666666666666,112.02741557056251,78.625,0.0,39.175,0.0,87.75,6.267333333333334,75.375,0.1,801.912383175,1.24375,1.2625,0.48025,8.6375,2000_2015
South Africa,57.5,412.75,48.6875,7.588666666666667,616.359643518125,66.5,1506.0,38.15,69.8125,65.3125,8.306000000000001,70.1875,18.49375,4869.4270436875,9.175,11.075000000000001,0.6290625,12.89375,2000_2015
Spain,82.06875,63.625,1.625,10.024,2332.680183884375,92.5,449.875,58.66875,1.875,96.75,8.536666666666667,96.75,0.1,17093.459736875,0.6,0.5,0.8505625,16.35625,2000_2015
Sri Lanka,73.4,144.375,4.0,2.096,59.75360089375,90.61538461538461,1420.4375,17.275,4.75,98.375,3.771333333333333,98.4375,0.1,1040.110189675,15.325000000000001,15.36875,0.7251875,13.21875,2000_2015
